SCAL,NGEN,NBPS,REPL,MTHD,QS,NQS
1X,1000,500,R6,fastral,123130316,0.6328004728132388
1X,1000,500,R7,fastral,122458850,0.6293496248329736
1X,1000,500,R8,fastral,123867281,0.636587938123137
1X,1000,500,R9,fastral,122202836,0.6280338986535101
1X,1000,true,R10,fastral,136533477,0.7016829941412273
1X,1000,true,R11,fastral,135653981,0.6971630229211635
1X,1000,true,R12,fastral,136601937,0.7020348288621646
1X,1000,true,R13,fastral,136106436,0.6994883132901635
1X,1000,true,R14,fastral,135782359,0.6978227926816734
1X,1000,true,R15,fastral,135590146,0.696834957344023
1X,1000,true,R16,fastral,135746034,0.697636108541474
1X,1000,true,R17,fastral,135897819,0.6984161732963305
1X,1000,true,R18,fastral,135512100,0.6964338575393154
1X,1000,true,R19,fastral,136652113,0.7022926970911707
1X,1000,true,R1,fastral,135474030,0.6962382053654024
1X,1000,true,R20,fastral,136296866,0.7004669853016754
1X,1000,true,R2,fastral,136195762,0.6999473841093637
1X,1000,true,R3,fastral,136754587,0.7028193390893206
1X,1000,true,R4,fastral,136706713,0.7025733014698324
1X,1000,true,R5,fastral,137425920,0.7062695035460993
1X,1000,true,R6,fastral,135854375,0.6981929026621441
1X,1000,true,R7,fastral,135901288,0.6984340014389968
1X,1000,true,R8,fastral,136606653,0.702059065679926
1X,1000,true,R9,fastral,135476587,0.6962513464898756
1X,100,500,R10,fastral,12302706,0.6322698119025594
1X,100,500,R11,fastral,12346725,0.634532069071847
1X,100,500,R12,fastral,12436728,0.6391575701510946
1X,100,500,R13,fastral,12325114,0.633421420495426
1X,100,500,R14,fastral,12448025,0.6397381539726591
1X,100,500,R15,fastral,12460410,0.6403746530989824
1X,100,500,R16,fastral,12109605,0.6223458217699661
1X,100,500,R17,fastral,12197002,0.6268373933600576
1X,100,500,R18,fastral,12380594,0.6362726898961867
1X,100,500,R19,fastral,12410870,0.6378286565936889
1X,100,500,R1,fastral,12423449,0.6384751259122212
1X,100,500,R20,fastral,12660193,0.6506420495426046
1X,100,500,R2,fastral,12300172,0.6321395826909241
1X,100,500,R3,fastral,12407378,0.6376491931339295
1X,100,500,R4,fastral,12309671,0.6326277623599548
1X,100,500,R5,fastral,12339766,0.6341744269709118
1X,100,500,R6,fastral,12347613,0.634577705827937
1X,100,500,R7,fastral,12257400,0.6299414122725872
1X,100,500,R8,fastral,12504612,0.6426463151403022
1X,100,500,R9,fastral,12192698,0.6266161989927023
1X,100,true,R10,fastral,13613610,0.6996407647240209
1X,100,true,R11,fastral,13652758,0.701652687840477
1X,100,true,R12,fastral,13616457,0.6997870798643232
1X,100,true,R13,fastral,13596356,0.6987540343303525
1X,100,true,R14,fastral,13572987,0.6975530373111317
1X,100,true,R15,fastral,13651271,0.7015762668311234
1X,100,true,R16,fastral,13411412,0.6892492548052215
1X,100,true,R17,fastral,13619707,0.6999541062801933
1X,100,true,R18,fastral,13493654,0.6934758968033714
1X,100,true,R19,fastral,13834360,0.7109857128173502
1X,100,true,R1,fastral,13617179,0.699824185425018
