NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF
200,50,22,abayes,TQMC-wh_n0,16,16,0.16326530612244897
200,50,23,bs,ASTER-wh,7,7,0.07142857142857142
200,50,23,abayes,ASTER-wh,11,11,0.11224489795918367
200,50,23,bs,ASTRID-ws,12,12,0.12244897959183673
200,50,23,abayes,ASTRID-ws,11,11,0.11224489795918367
200,50,23,bs,TQMC-wh_n2,13,13,0.1326530612244898
200,50,23,abayes,TQMC-wh_n2,12,12,0.12244897959183673
200,50,23,none_keeppoly,TQMC-n2,13,13,0.1326530612244898
200,50,23,none_refinepoly,TQMC-n2,13,13,0.1326530612244898
200,50,23,bs,TQMC-ws_n2,12,12,0.12244897959183673
200,50,23,abayes,TQMC-ws_n2,12,12,0.12244897959183673
200,50,23,bs,TQMC-wh_n1,10,10,0.10204081632653061
200,50,23,abayes,TQMC-wh_n1,11,11,0.11224489795918367
200,50,23,bs,TQMC-wh_n0,8,8,0.08163265306122448
200,50,23,abayes,TQMC-wh_n0,9,9,0.09183673469387756
200,50,24,bs,ASTER-wh,19,19,0.19387755102040816
200,50,24,abayes,ASTER-wh,18,18,0.1836734693877551
200,50,24,bs,ASTRID-ws,20,20,0.20408163265306123
200,50,24,abayes,ASTRID-ws,18,18,0.1836734693877551
200,50,24,bs,TQMC-wh_n2,18,18,0.1836734693877551
200,50,24,abayes,TQMC-wh_n2,18,18,0.1836734693877551
200,50,24,none_keeppoly,TQMC-n2,22,22,0.22448979591836735
200,50,24,none_refinepoly,TQMC-n2,22,22,0.22448979591836735
200,50,24,bs,TQMC-ws_n2,18,18,0.1836734693877551
200,50,24,abayes,TQMC-ws_n2,18,18,0.1836734693877551
200,50,24,bs,TQMC-wh_n1,19,19,0.19387755102040816
200,50,24,abayes,TQMC-wh_n1,18,18,0.1836734693877551
200,50,24,bs,TQMC-wh_n0,20,20,0.20408163265306123
200,50,24,abayes,TQMC-wh_n0,20,20,0.20408163265306123
200,50,25,bs,ASTER-wh,15,15,0.15306122448979592
200,50,25,abayes,ASTER-wh,15,15,0.15306122448979592
200,50,25,bs,ASTRID-ws,14,14,0.14285714285714285
200,50,25,abayes,ASTRID-ws,14,14,0.14285714285714285
200,50,25,bs,TQMC-wh_n2,15,15,0.15306122448979592
200,50,25,abayes,TQMC-wh_n2,10,10,0.10204081632653061
200,50,25,none_keeppoly,TQMC-n2,16,16,0.16326530612244897
200,50,25,none_refinepoly,TQMC-n2,19,19,0.19387755102040816
200,50,25,bs,TQMC-ws_n2,14,14,0.14285714285714285
200,50,25,abayes,TQMC-ws_n2,10,10,0.10204081632653061
200,50,25,bs,TQMC-wh_n1,14,14,0.14285714285714285
200,50,25,abayes,TQMC-wh_n1,11,11,0.11224489795918367
200,50,25,bs,TQMC-wh_n0,17,17,0.17346938775510204
200,50,25,abayes,TQMC-wh_n0,17,17,0.17346938775510204
200,50,26,bs,ASTER-wh,11,11,0.11224489795918367
200,50,26,abayes,ASTER-wh,11,11,0.11224489795918367
200,50,26,bs,ASTRID-ws,16,16,0.16326530612244897
200,50,26,abayes,ASTRID-ws,12,12,0.12244897959183673
200,50,26,bs,TQMC-wh_n2,14,14,0.14285714285714285
200,50,26,abayes,TQMC-wh_n2,10,10,0.10204081632653061
200,50,26,none_keeppoly,TQMC-n2,16,16,0.16326530612244897
200,50,26,none_refinepoly,TQMC-n2,16,16,0.16326530612244897
200,50,26,bs,TQMC-ws_n2,12,12,0.12244897959183673
200,50,26,abayes,TQMC-ws_n2,10,10,0.10204081632653061
200,50,26,bs,TQMC-wh_n1,12,12,0.12244897959183673
200,50,26,abayes,TQMC-wh_n1,11,11,0.11224489795918367
200,50,26,bs,TQMC-wh_n0,11,11,0.11224489795918367
200,50,26,abayes,TQMC-wh_n0,14,14,0.14285714285714285
200,50,27,bs,ASTER-wh,16,16,0.16326530612244897
200,50,27,abayes,ASTER-wh,17,17,0.17346938775510204
200,50,27,bs,ASTRID-ws,20,20,0.20408163265306123
200,50,27,abayes,ASTRID-ws,19,19,0.19387755102040816
200,50,27,bs,TQMC-wh_n2,18,18,0.1836734693877551
200,50,27,abayes,TQMC-wh_n2,23,23,0.23469387755102042
200,50,27,none_keeppoly,TQMC-n2,22,22,0.22448979591836735
200,50,27,none_refinepoly,TQMC-n2,23,23,0.23469387755102042
200,50,27,bs,TQMC-ws_n2,18,18,0.1836734693877551
200,50,27,abayes,TQMC-ws_n2,23,23,0.23469387755102042
200,50,27,bs,TQMC-wh_n1,17,17,0.17346938775510204
200,50,27,abayes,TQMC-wh_n1,20,20,0.20408163265306123
200,50,27,bs,TQMC-wh_n0,19,19,0.19387755102040816
200,50,27,abayes,TQMC-wh_n0,18,18,0.1836734693877551
200,50,28,bs,ASTER-wh,9,9,0.09183673469387756
200,50,28,abayes,ASTER-wh,9,9,0.09183673469387756
200,50,28,bs,ASTRID-ws,8,8,0.08163265306122448
200,50,28,abayes,ASTRID-ws,12,12,0.12244897959183673
200,50,28,bs,TQMC-wh_n2,6,6,0.061224489795918366
200,50,28,abayes,TQMC-wh_n2,11,11,0.11224489795918367
200,50,28,none_keeppoly,TQMC-n2,9,9,0.09183673469387756
200,50,28,none_refinepoly,TQMC-n2,9,9,0.09183673469387756
200,50,28,bs,TQMC-ws_n2,8,8,0.08163265306122448
200,50,28,abayes,TQMC-ws_n2,11,11,0.11224489795918367
200,50,28,bs,TQMC-wh_n1,9,9,0.09183673469387756
200,50,28,abayes,TQMC-wh_n1,9,9,0.09183673469387756
200,50,28,bs,TQMC-wh_n0,10,10,0.10204081632653061
200,50,28,abayes,TQMC-wh_n0,11,11,0.11224489795918367
200,50,29,bs,ASTER-wh,14,14,0.14285714285714285
200,50,29,abayes,ASTER-wh,14,14,0.14285714285714285
200,50,29,bs,ASTRID-ws,15,15,0.15306122448979592
200,50,29,abayes,ASTRID-ws,12,12,0.12244897959183673
200,50,29,bs,TQMC-wh_n2,12,12,0.12244897959183673
200,50,29,abayes,TQMC-wh_n2,13,13,0.1326530612244898
200,50,29,none_keeppoly,TQMC-n2,11,11,0.11224489795918367
200,50,29,none_refinepoly,TQMC-n2,11,11,0.11224489795918367
200,50,29,bs,TQMC-ws_n2,14,14,0.14285714285714285
200,50,29,abayes,TQMC-ws_n2,17,17,0.17346938775510204
200,50,29,bs,TQMC-wh_n1,11,11,0.11224489795918367
200,50,29,abayes,TQMC-wh_n1,12,12,0.12244897959183673
200,50,29,bs,TQMC-wh_n0,14,14,0.14285714285714285
200,50,29,abayes,TQMC-wh_n0,14,14,0.14285714285714285
200,50,30,bs,ASTER-wh,20,20,0.20408163265306123
200,50,30,abayes,ASTER-wh,15,15,0.15306122448979592
200,50,30,bs,ASTRID-ws,24,24,0.24489795918367346
200,50,30,abayes,ASTRID-ws,18,18,0.1836734693877551
200,50,30,bs,TQMC-wh_n2,19,19,0.19387755102040816
200,50,30,abayes,TQMC-wh_n2,16,16,0.16326530612244897
200,50,30,none_keeppoly,TQMC-n2,19,19,0.19387755102040816
200,50,30,none_refinepoly,TQMC-n2,20,20,0.20408163265306123
200,50,30,bs,TQMC-ws_n2,19,19,0.19387755102040816
200,50,30,abayes,TQMC-ws_n2,15,15,0.15306122448979592
200,50,30,bs,TQMC-wh_n1,20,20,0.20408163265306123
