NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
10,medium,shallow,28,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,28,abayes,50,ASTER-wh,1,0.125
10,medium,shallow,28,sh,50,ASTER-wh,0,0.0
10,medium,shallow,28,abayes,50,ASTRID-ws,1,0.125
10,medium,shallow,28,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,29,none,50,CA-ML,1,0.125
10,medium,shallow,29,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,29,none,50,TQMC-n2,0,0.0
10,medium,shallow,29,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,29,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,29,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,29,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,29,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,29,sh,50,ASTER-wh,0,0.0
10,medium,shallow,29,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,29,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,30,none,50,CA-ML,2,0.25
10,medium,shallow,30,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,30,none,50,TQMC-n2,2,0.25
10,medium,shallow,30,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,30,sh,50,TQMC-ws_n2,2,0.25
10,medium,shallow,30,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,30,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,30,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,30,sh,50,ASTER-wh,0,0.0
10,medium,shallow,30,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,30,sh,50,ASTRID-ws,2,0.25
10,medium,shallow,31,none,50,CA-ML,0,0.0
10,medium,shallow,31,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,31,none,50,TQMC-n2,1,0.125
10,medium,shallow,31,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,31,sh,50,TQMC-ws_n2,1,0.125
10,medium,shallow,31,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,31,sh,50,TQMC-wh_n2,1,0.125
10,medium,shallow,31,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,31,sh,50,ASTER-wh,1,0.125
10,medium,shallow,31,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,31,sh,50,ASTRID-ws,1,0.125
10,medium,shallow,32,none,50,CA-ML,0,0.0
10,medium,shallow,32,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,32,none,50,TQMC-n2,0,0.0
10,medium,shallow,32,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,32,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,32,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,32,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,32,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,32,sh,50,ASTER-wh,0,0.0
10,medium,shallow,32,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,32,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,33,none,50,CA-ML,0,0.0
10,medium,shallow,33,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,33,none,50,TQMC-n2,0,0.0
10,medium,shallow,33,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,33,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,33,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,33,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,33,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,33,sh,50,ASTER-wh,0,0.0
10,medium,shallow,33,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,33,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,34,none,50,CA-ML,0,0.0
10,medium,shallow,34,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,34,none,50,TQMC-n2,0,0.0
10,medium,shallow,34,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,34,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,34,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,34,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,34,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,34,sh,50,ASTER-wh,0,0.0
10,medium,shallow,34,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,34,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,35,none,50,CA-ML,0,0.0
10,medium,shallow,35,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,35,none,50,TQMC-n2,0,0.0
10,medium,shallow,35,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,35,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,35,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,35,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,35,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,35,sh,50,ASTER-wh,0,0.0
10,medium,shallow,35,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,35,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,36,none,50,CA-ML,0,0.0
10,medium,shallow,36,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,36,none,50,TQMC-n2,0,0.0
10,medium,shallow,36,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,36,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,36,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,36,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,36,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,36,sh,50,ASTER-wh,0,0.0
10,medium,shallow,36,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,36,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,37,none,50,CA-ML,0,0.0
10,medium,shallow,37,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,37,none,50,TQMC-n2,0,0.0
10,medium,shallow,37,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,37,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,37,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,37,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,37,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,37,sh,50,ASTER-wh,0,0.0
