NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
200,low,deep,27,sh,50,TQMC-wh_n2,9,0.045454545454545456
200,low,deep,27,abayes,50,ASTER-wh,11,0.05555555555555555
200,low,deep,27,sh,50,ASTER-wh,9,0.045454545454545456
200,low,deep,27,abayes,50,ASTRID-ws,10,0.050505050505050504
200,low,deep,27,sh,50,ASTRID-ws,9,0.045454545454545456
200,low,deep,28,none,50,CA-ML,7,0.03535353535353535
200,low,deep,28,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,28,none,50,TQMC-n2,8,0.04040404040404041
200,low,deep,28,abayes,50,TQMC-ws_n2,7,0.03535353535353535
200,low,deep,28,sh,50,TQMC-ws_n2,7,0.03535353535353535
200,low,deep,28,abayes,50,TQMC-wh_n2,6,0.030303030303030304
200,low,deep,28,sh,50,TQMC-wh_n2,7,0.03535353535353535
200,low,deep,28,abayes,50,ASTER-wh,6,0.030303030303030304
200,low,deep,28,sh,50,ASTER-wh,9,0.045454545454545456
200,low,deep,28,abayes,50,ASTRID-ws,7,0.03535353535353535
200,low,deep,28,sh,50,ASTRID-ws,8,0.04040404040404041
200,low,deep,29,none,50,CA-ML,11,0.05555555555555555
200,low,deep,29,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,29,none,50,TQMC-n2,24,0.12121212121212122
200,low,deep,29,abayes,50,TQMC-ws_n2,20,0.10101010101010101
200,low,deep,29,sh,50,TQMC-ws_n2,24,0.12121212121212122
200,low,deep,29,abayes,50,TQMC-wh_n2,23,0.11616161616161616
200,low,deep,29,sh,50,TQMC-wh_n2,29,0.14646464646464646
200,low,deep,29,abayes,50,ASTER-wh,27,0.13636363636363635
200,low,deep,29,sh,50,ASTER-wh,34,0.1717171717171717
200,low,deep,29,abayes,50,ASTRID-ws,25,0.12626262626262627
200,low,deep,29,sh,50,ASTRID-ws,27,0.13636363636363635
200,low,deep,30,none,50,CA-ML,6,0.030303030303030304
200,low,deep,30,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,30,none,50,TQMC-n2,4,0.020202020202020204
200,low,deep,30,abayes,50,TQMC-ws_n2,4,0.020202020202020204
200,low,deep,30,sh,50,TQMC-ws_n2,4,0.020202020202020204
200,low,deep,30,abayes,50,TQMC-wh_n2,4,0.020202020202020204
200,low,deep,30,sh,50,TQMC-wh_n2,5,0.025252525252525252
200,low,deep,30,abayes,50,ASTER-wh,6,0.030303030303030304
200,low,deep,30,sh,50,ASTER-wh,6,0.030303030303030304
200,low,deep,30,abayes,50,ASTRID-ws,4,0.020202020202020204
200,low,deep,30,sh,50,ASTRID-ws,4,0.020202020202020204
200,low,deep,31,none,50,CA-ML,7,0.03535353535353535
200,low,deep,31,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,31,none,50,TQMC-n2,5,0.025252525252525252
200,low,deep,31,abayes,50,TQMC-ws_n2,6,0.030303030303030304
200,low,deep,31,sh,50,TQMC-ws_n2,5,0.025252525252525252
200,low,deep,31,abayes,50,TQMC-wh_n2,4,0.020202020202020204
200,low,deep,31,sh,50,TQMC-wh_n2,5,0.025252525252525252
200,low,deep,31,abayes,50,ASTER-wh,5,0.025252525252525252
200,low,deep,31,sh,50,ASTER-wh,7,0.03535353535353535
200,low,deep,31,abayes,50,ASTRID-ws,6,0.030303030303030304
200,low,deep,31,sh,50,ASTRID-ws,5,0.025252525252525252
200,low,deep,32,none,50,CA-ML,2,0.010101010101010102
200,low,deep,32,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,32,none,50,TQMC-n2,9,0.045454545454545456
200,low,deep,32,abayes,50,TQMC-ws_n2,4,0.020202020202020204
200,low,deep,32,sh,50,TQMC-ws_n2,5,0.025252525252525252
200,low,deep,32,abayes,50,TQMC-wh_n2,4,0.020202020202020204
200,low,deep,32,sh,50,TQMC-wh_n2,5,0.025252525252525252
200,low,deep,32,abayes,50,ASTER-wh,4,0.020202020202020204
200,low,deep,32,sh,50,ASTER-wh,6,0.030303030303030304
200,low,deep,32,abayes,50,ASTRID-ws,4,0.020202020202020204
200,low,deep,32,sh,50,ASTRID-ws,4,0.020202020202020204
200,low,deep,33,none,50,CA-ML,8,0.04040404040404041
200,low,deep,33,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,33,none,50,TQMC-n2,11,0.05555555555555555
200,low,deep,33,abayes,50,TQMC-ws_n2,9,0.045454545454545456
200,low,deep,33,sh,50,TQMC-ws_n2,10,0.050505050505050504
200,low,deep,33,abayes,50,TQMC-wh_n2,8,0.04040404040404041
200,low,deep,33,sh,50,TQMC-wh_n2,9,0.045454545454545456
200,low,deep,33,abayes,50,ASTER-wh,7,0.03535353535353535
200,low,deep,33,sh,50,ASTER-wh,7,0.03535353535353535
200,low,deep,33,abayes,50,ASTRID-ws,10,0.050505050505050504
200,low,deep,33,sh,50,ASTRID-ws,11,0.05555555555555555
200,low,deep,34,none,50,CA-ML,6,0.030303030303030304
200,low,deep,34,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,34,none,50,TQMC-n2,15,0.07575757575757576
200,low,deep,34,abayes,50,TQMC-ws_n2,13,0.06565656565656566
200,low,deep,34,sh,50,TQMC-ws_n2,15,0.07575757575757576
200,low,deep,34,abayes,50,TQMC-wh_n2,10,0.050505050505050504
200,low,deep,34,sh,50,TQMC-wh_n2,15,0.07575757575757576
200,low,deep,34,abayes,50,ASTER-wh,10,0.050505050505050504
200,low,deep,34,sh,50,ASTER-wh,14,0.0707070707070707
200,low,deep,34,abayes,50,ASTRID-ws,16,0.08080808080808081
200,low,deep,34,sh,50,ASTRID-ws,20,0.10101010101010101
200,low,deep,35,none,50,CA-ML,14,0.0707070707070707
200,low,deep,35,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,35,none,50,TQMC-n2,17,0.08585858585858586
200,low,deep,35,abayes,50,TQMC-ws_n2,10,0.050505050505050504
